id,separationtype,gender,age,institute_service,dissatisfied,institute
341.0,Resignation-Other reasons,Male,26-30,8.0,True,DETE
346.0,Resignation-Other employer,Female,41-45,24.0,True,DETE
348.0,Resignation-Other employer,Female,36-40,4.0,False,DETE
349.0,Resignation-Other reasons,Male,56-60,33.0,True,DETE
355.0,Resignation-Other employer,Male,26-30,6.0,True,DETE
356.0,Resignation-Other reasons,Female,56-60,21.0,False,DETE
357.0,Resignation-Move overseas/interstate,Female,31-35,10.0,False,DETE
367.0,Resignation-Move overseas/interstate,Male,21-25,3.0,True,DETE
368.0,Resignation-Move overseas/interstate,Female,21-25,1.0,True,DETE
372.0,Resignation-Other reasons,Female,36-40,0.0,False,DETE
