id,separationtype,gender,age,institute_service,dissatisfied,institute,service_cat
4.0,Resignation-Other reasons,Female,36-40,7.0,False,DETE,Established
6.0,Resignation-Other reasons,Female,41-45,18.0,True,DETE,Veteran
9.0,Resignation-Other reasons,Female,31-35,3.0,False,DETE,Experienced
10.0,Resignation-Other employer,Female,46-50,15.0,True,DETE,Veteran
12.0,Resignation-Move overseas/interstate,Male,31-35,3.0,False,DETE,Experienced
13.0,Resignation-Other reasons,Female,36-40,14.0,False,DETE,Veteran
15.0,Resignation-Other employer,Male,31-35,5.0,True,DETE,Experienced
21.0,Resignation-Other employer,Male,56-60,30.0,False,DETE,Veteran
22.0,Resignation-Other reasons,Female,51-55,32.0,False,DETE,Veteran
23.0,Resignation-Other reasons,Female,46-50,15.0,True,DETE,Veteran
24.0,Resignation-Other reasons,Female,61 or older,39.0,True,DETE,Veteran
26.0,Resignation-Other reasons,Female,41-45,17.0,True,DETE,Veteran
28.0,Resignation-Other employer,Female,21-25,7.0,False,DETE,Established
34.0,Resignation-Other reasons,Male,36-40,9.0,True,DETE,Established
35.0,Resignation-Other reasons,Male,61 or older,6.0,True,DETE,Experienced
38.0,Resignation-Other reasons,Female,21-25,1.0,False,DETE,New
41.0,Resignation-Other employer,Male,56-60,35.0,False,DETE,Veteran
42.0,Resignation-Other reasons,Female,51-55,38.0,True,DETE,Veteran
43.0,Resignation-Move overseas/interstate,Female,41-45,1.0,False,DETE,New
44.0,Resignation-Other reasons,Male,51-55,36.0,True,DETE,Veteran
49.0,Resignation-Move overseas/interstate,Male,21-25,3.0,False,DETE,Experienced
51.0,Resignation-Move overseas/interstate,Male,21-25,3.0,False,DETE,Experienced
52.0,Resignation-Other reasons,Female,61 or older,19.0,False,DETE,Veteran
56.0,Resignation-Other employer,Female,26-30,4.0,False,DETE,Experienced
58.0,Resignation-Other employer,Male,46-50,9.0,False,DETE,Established
62.0,Resignation-Other reasons,Female,31-35,1.0,False,DETE,New
70.0,Resignation-Other reasons,Female,36-40,6.0,True,DETE,Experienced
72.0,Resignation-Other reasons,Female,36-40,1.0,False,DETE,New
88.0,Resignation-Move overseas/interstate,Female,26-30,5.0,False,DETE,Experienced
